ORIGIN,DEST,ROUTE,total_flights,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_distance,avg_air_time
BIL,SLC,BIL → SLC,546,6.263736263736264,8.173992673992673,0.09340659340659341,0.005494505494505495,387.0,61.76739926739927
BIS,AZA,BIS → AZA,100,18.26,19.33,0.33,0.01,1092.0,146.38
BIS,DEN,BIS → DEN,443,19.35665914221219,21.665914221218962,0.20090293453724606,0.03611738148984198,516.0,78.46049661399549
BIS,DFW,BIS → DFW,284,15.028169014084508,17.651408450704224,0.20422535211267606,0.028169014084507043,977.0,128.33098591549296
BIS,LAS,BIS → LAS,61,23.688524590163933,25.442622950819672,0.3114754098360656,0.03278688524590164,1048.0,139.45901639344262
BIS,MSP,BIS → MSP,788,9.591370558375635,9.5,0.10406091370558376,0.02030456852791878,386.0,58.76015228426396
BIS,ORD,BIS → ORD,20,24.15,23.4,0.25,0.0,716.0,98.05
BIS,PHX,BIS → PHX,31,8.516129032258064,5.935483870967742,0.0967741935483871,0.0,1094.0,150.06451612903226
BIS,SFB,BIS → SFB,23,22.130434782608695,22.434782608695652,0.34782608695652173,0.08695652173913043,1628.0,178.04347826086956
BJI,BRD,BJI → BRD,10,31.6,32.2,0.2,0.0,85.0,24.7
BJI,MSP,BJI → MSP,325,14.015384615384615,14.172307692307692,0.07076923076923076,0.012307692307692308,199.0,37.39076923076923
BKG,DEN,BKG → DEN,31,11.741935483870968,9.419354838709678,0.25806451612903225,0.0,665.0,97.51612903225806
BKG,DFW,BKG → DFW,4,52.75,59.25,0.5,0.0,332.0,62.75
BKG,ORD,BKG → ORD,5,8.4,6.2,0.2,0.0,471.0,67.2
BLI,ANC,BLI → ANC,3,0.0,0.0,0.0,0.3333333333333333,1371.0,117.33333333333333
BLI,AZA,BLI → AZA,63,13.380952380952381,13.825396825396826,0.12698412698412698,0.06349206349206349,1208.0,146.6031746031746
BLI,DEN,BLI → DEN,2,59.0,56.0,1.0,0.0,1075.0,136.0
BLI,KOA,BLI → KOA,2,0.0,0.0,0.0,0.0,2732.0,350.0
BLI,LAS,BLI → LAS,308,7.23051948051948,7.857142857142857,0.12987012987012986,0.03571428571428571,954.0,125.30844155844156
BLI,LAX,BLI → LAX,69,1.8115942028985508,2.7681159420289854,0.057971014492753624,0.057971014492753624,1047.0,131.3913043478261
BLI,OAK,BLI → OAK,193,13.792746113989637,10.663212435233161,0.18134715025906736,0.025906735751295335,764.0,102.18134715025907
BLI,OGG,BLI → OGG,4,32.0,27.0,0.5,0.0,2681.0,350.25
BLI,PSP,BLI → PSP,53,2.6792452830188678,3.358490566037736,0.018867924528301886,0.05660377358490566,1078.0,135.71698113207546
BLI,SAN,BLI → SAN,17,0.4117647058823529,2.4705882352941178,0.058823529411764705,0.058823529411764705,1142.0,138.7058823529412
BLI,SEA,BLI → SEA,396,5.6893939393939394,6.075757575757576,0.10353535353535354,0.020202020202020204,93.0,25.46969696969697
BLI,TUS,BLI → TUS,9,2.5555555555555554,0.7777777777777778,0.0,0.0,1299.0,160.77777777777777
BLV,AZA,BLV → AZA,14,3.7857142857142856,7.142857142857143,0.21428571428571427,0.07142857142857142,1272.0,173.28571428571428
BLV,CHS,BLV → CHS,6,3.5,10.166666666666666,0.5,0.0,674.0,87.83333333333333
BLV,FLL,BLV → FLL,21,43.23809523809524,44.23809523809524,0.47619047619047616,0.047619047619047616,1028.0,127.14285714285714
BLV,JAX,BLV → JAX,20,20.3,23.15,0.2,0.0,723.0,93.85
BLV,LAS,BLV → LAS,34,35.294117647058826,38.205882352941174,0.47058823529411764,0.058823529411764705,1400.0,185.3235294117647
BLV,MYR,BLV → MYR,10,15.2,17.5,0.3,0.0,696.0,90.3
BLV,PGD,BLV → PGD,78,18.192307692307693,19.628205128205128,0.28205128205128205,0.0641025641025641,921.0,111.58974358974359
BLV,PIE,BLV → PIE,65,22.076923076923077,23.907692307692308,0.2923076923076923,0.03076923076923077,841.0,105.72307692307692
BLV,SAV,BLV → SAV,9,47.77777777777778,46.333333333333336,0.5555555555555556,0.0,658.0,90.33333333333333
BLV,SFB,BLV → SFB,69,21.71014492753623,21.6231884057971,0.2753623188405797,0.043478260869565216,835.0,104.5072463768116
BLV,SRQ,BLV → SRQ,43,24.046511627906977,24.88372093023256,0.2558139534883721,0.06976744186046512,876.0,103.53488372093024
BLV,VPS,BLV → VPS,157,26.515923566878982,27.955414012738853,0.20382165605095542,0.06369426751592357,587.0,75.21656050955414
BMI,ATL,BMI → ATL,372,11.010752688172044,11.185483870967742,0.12634408602150538,0.010752688172043012,533.0,76.37903225806451
BMI,DEN,BMI → DEN,30,19.633333333333333,22.4,0.36666666666666664,0.0,834.0,127.03333333333333
BMI,DFW,BMI → DFW,295,13.193220338983052,15.04406779661017,0.1694915254237288,0.030508474576271188,690.0,102.11864406779661
BMI,DTW,BMI → DTW,54,4.833333333333333,5.537037037037037,0.14814814814814814,0.0,313.0,51.648148148148145
BMI,MCO,BMI → MCO,27,18.85185185185185,23.88888888888889,0.2962962962962963,0.1111111111111111,936.0,115.33333333333333
BMI,ORD,BMI → ORD,285,6.4035087719298245,7.207017543859649,0.10877192982456141,0.028070175438596492,116.0,31.0
BMI,PIE,BMI → PIE,55,15.545454545454545,19.236363636363638,0.3090909090909091,0.0,936.0,117.30909090909091
BMI,SFB,BMI → SFB,53,16.264150943396228,19.943396226415093,0.2641509433962264,0.03773584905660377,917.0,113.67924528301887
BMI,TPA,BMI → TPA,2,65.0,45.0,1.0,0.0,935.0,112.5
BMI,VPS,BMI → VPS,9,21.555555555555557,22.555555555555557,0.2222222222222222,0.1111111111111111,702.0,81.33333333333333
BNA,ABE,BNA → ABE,39,17.153846153846153,18.384615384615383,0.2564102564102564,0.10256410256410256,685.0,81.48717948717949
BNA,ALB,BNA → ALB,9,13.777777777777779,13.555555555555555,0.4444444444444444,0.1111111111111111,825.0,92.55555555555556
BNA,ATL,BNA → ATL,1808,8.080752212389381,7.898783185840708,0.11449115044247787,0.022123893805309734,214.0,38.38108407079646
BNA,ATW,BNA → ATW,38,17.342105263157894,18.605263157894736,0.3157894736842105,0.18421052631578946,570.0,66.13157894736842
BNA,AUS,BNA → AUS,809,9.00370828182942,7.901112484548825,0.14585908529048208,0.027194066749072928,756.0,109.15327564894932
BNA,BDL,BNA → BDL,90,6.566666666666666,4.955555555555556,0.1,0.0,852.0,110.73333333333333
BNA,BOI,BNA → BOI,2,0.0,0.0,0.0,0.0,1643.0,217.0
BNA,BOS,BNA → BOS,1031,16.193986420950534,14.857419980601358,0.21144519883608148,0.02230843840931135,942.0,119.77109602327837
BNA,BUF,BNA → BUF,3,14.0,9.0,0.3333333333333333,0.0,633.0,83.66666666666667
BNA,BUR,BNA → BUR,64,14.078125,11.09375,0.203125,0.015625,1791.0,237.140625
