ORIGIN,ORIGIN_CITY,total_departures,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_taxi_out
EGE,"Eagle, CO",1313,21.527037319116527,21.743335872048743,0.21934501142421933,0.04798172124904798,17.88804265041889
EKO,"Elko, NV",245,14.073469387755102,15.383673469387755,0.10204081632653061,0.0163265306122449,13.208163265306123
ELM,"Elmira/Corning, NY",472,11.815677966101696,12.453389830508474,0.16101694915254236,0.029661016949152543,13.025423728813559
ELP,"El Paso, TX",7073,11.612187190725294,11.322493991234271,0.14633111833733917,0.02714548282199915,13.559734200480701
ERI,"Erie, PA",287,12.839721254355402,12.724738675958188,0.14634146341463414,0.024390243902439025,16.43205574912892
ESC,"Escanaba, MI",314,20.461783439490446,21.044585987261147,0.1751592356687898,0.01592356687898089,12.968152866242038
EUG,"Eugene, OR",3302,11.149909145972138,11.03694730466384,0.14021804966686857,0.019079345850999394,13.672622652937614
EVV,"Evansville, IN",1252,7.348242811501597,8.728434504792332,0.1269968051118211,0.02875399361022364,16.75479233226837
EWN,"New Bern/Morehead/Beaufort, NC",672,10.892857142857142,9.879464285714286,0.11458333333333333,0.026785714285714284,15.282738095238095
EWR,"Newark, NJ",52860,18.336473704124103,18.2029701097238,0.23308740068104428,0.03881952326901249,22.130098373060914
EYW,"Key West, FL",3464,17.562644341801384,17.525692840646652,0.22921478060046188,0.032909930715935336,12.635103926096997
FAI,"Fairbanks, AK",2017,7.257312840852752,7.671294000991572,0.1308874566187407,0.015865146256817054,13.537927615270203
FAR,"Fargo, ND",2761,16.400941687794276,17.022455632017387,0.17855849329952916,0.034407823252444764,17.336834480260777
FAT,"Fresno, CA",5203,12.622909859696328,12.659427253507591,0.14587737843551796,0.017682106477032482,13.518739188929464
FAY,"Fayetteville, NC",1293,12.65274555297757,11.900232018561486,0.13534416086620263,0.030935808197989172,15.122969837587007
FCA,"Kalispell, MT",1961,13.596634370219276,14.830698623151454,0.14431412544620092,0.013258541560428353,16.31871494135645
FLG,"Flagstaff, AZ",938,11.022388059701493,11.67590618336887,0.12260127931769722,0.039445628997867806,17.97547974413646
FLL,"Fort Lauderdale, FL",40179,16.988377012867417,16.668309315811744,0.22245451604071778,0.02702904502351975,16.514323402772593
FLO,"Florence, SC",7,0.7142857142857143,3.2857142857142856,0.14285714285714285,0.0,13.714285714285714
FNT,"Flint, MI",1312,14.919969512195122,16.303353658536587,0.1989329268292683,0.03277439024390244,13.915396341463415
